Station,gantry,Latitude,Longitude,Lane Count,Month,ClimateType,Estimated Monthly Consumption (kWh)
后里,03F-186.0N,24.177831,120.548244,3.0,7,1,1908.5
后里,03F-186.0N,24.177831,120.548244,3.0,8,1,1908.5
后里,03F-186.0N,24.177831,120.548244,3.0,9,1,1656.5
后里,03F-186.0N,24.177831,120.548244,3.0,10,1,1656.5
后里,03F-194.1N,24.120947,120.534547,3.0,4,1,1066.0
后里,03F-194.1N,24.120947,120.534547,3.0,5,1,1066.0
后里,03F-194.1N,24.120947,120.534547,3.0,6,1,1316.5
后里,03F-194.1N,24.120947,120.534547,3.0,7,1,1316.5
后里,03F-194.1N,24.120947,120.534547,3.0,8,1,1129.0
后里,03F-194.1N,24.120947,120.534547,3.0,9,1,1129.0
后里,03F-194.1N,24.120947,120.534547,3.0,10,1,1132.0
后里,03F-194.1N,24.120947,120.534547,3.0,11,1,1132.0
后里,03F-194.4S,24.119011,120.536692,3.0,4,1,1082.5
后里,03F-194.4S,24.119011,120.536692,3.0,5,1,1082.5
后里,03F-194.4S,24.119011,120.536692,3.0,6,1,1217.0
后里,03F-194.4S,24.119011,120.536692,3.0,7,1,1217.0
后里,03F-194.4S,24.119011,120.536692,3.0,8,1,1075.0
后里,03F-194.4S,24.119011,120.536692,3.0,9,1,1075.0
后里,03F-194.4S,24.119011,120.536692,3.0,10,1,1130.5
后里,03F-194.4S,24.119011,120.536692,3.0,11,1,1130.5
員林,01F-177.4SN,24.184592,120.635611,3.0,4,1,606.0
員林,01F-177.4SN,24.184592,120.635611,3.0,5,1,606.0
員林,01F-177.4SN,24.184592,120.635611,3.0,6,1,257.5
員林,01F-177.4SN,24.184592,120.635611,3.0,7,1,257.5
員林,01F-177.4SN,24.184592,120.635611,3.0,8,1,1662.0
員林,01F-177.4SN,24.184592,120.635611,3.0,9,1,1662.0
員林,01F-177.4SN,24.184592,120.635611,3.0,10,1,1265.0
員林,01F-177.4SN,24.184592,120.635611,3.0,11,1,1265.0
員林,01F-180.2SN,24.163706,120.621933,3.0,3,1,1760.5
員林,01F-180.2SN,24.163706,120.621933,3.0,4,1,1760.5
員林,01F-180.2SN,24.163706,120.621933,3.0,5,1,1782.5
員林,01F-180.2SN,24.163706,120.621933,3.0,6,1,1782.5
員林,01F-180.2SN,24.163706,120.621933,3.0,7,1,1950.0
員林,01F-180.2SN,24.163706,120.621933,3.0,8,1,1950.0
員林,01F-180.2SN,24.163706,120.621933,3.0,9,1,1795.5
員林,01F-180.2SN,24.163706,120.621933,3.0,10,1,1795.5
