Station,gantry,Latitude,Longitude,Lane Count,Month,Estimated Monthly Consumption (kWh)
員林,01F-232.2SN,23.766328,120.469342,3.0,10,1666.0
員林,01F-239.4SN,23.702603,120.474917,3.0,4,1694.0
員林,01F-239.4SN,23.702603,120.474917,3.0,5,1694.0
員林,01F-239.4SN,23.702603,120.474917,3.0,6,1592.5
員林,01F-239.4SN,23.702603,120.474917,3.0,7,1592.5
員林,01F-239.4SN,23.702603,120.474917,3.0,8,1595.0
員林,01F-239.4SN,23.702603,120.474917,3.0,9,1595.0
員林,01F-239.4SN,23.702603,120.474917,3.0,10,1620.0
員林,01F-239.4SN,23.702603,120.474917,3.0,11,1620.0
員林,01F-242.5SN,23.677375,120.462281,4.0,4,1936.0
員林,01F-242.5SN,23.677375,120.462281,4.0,5,1936.0
員林,01F-242.5SN,23.677375,120.462281,4.0,6,1954.0
員林,01F-242.5SN,23.677375,120.462281,4.0,7,1954.0
員林,01F-242.5SN,23.677375,120.462281,4.0,8,1836.0
員林,01F-242.5SN,23.677375,120.462281,4.0,9,1836.0
員林,01F-242.5SN,23.677375,120.462281,4.0,10,1871.0
員林,01F-242.5SN,23.677375,120.462281,4.0,11,1871.0
員林,01F-247.2S,23.639556,120.443114,3.0,4,1660.5
員林,01F-247.2S,23.639556,120.443114,3.0,5,1660.5
員林,01F-247.2S,23.639556,120.443114,3.0,6,1738.5
員林,01F-247.2S,23.639556,120.443114,3.0,7,1738.5
員林,01F-247.2S,23.639556,120.443114,3.0,8,1640.0
員林,01F-247.2S,23.639556,120.443114,3.0,9,1640.0
員林,01F-247.2S,23.639556,120.443114,3.0,10,1611.0
員林,01F-247.2S,23.639556,120.443114,3.0,11,1611.0
員林,03F-199.2N,24.102525,120.578747,3.0,4,2408.0
員林,03F-199.2N,24.102525,120.578747,3.0,5,2408.0
員林,03F-199.2N,24.102525,120.578747,3.0,6,2549.5
員林,03F-199.2N,24.102525,120.578747,3.0,7,2549.5
員林,03F-199.2N,24.102525,120.578747,3.0,8,2405.5
員林,03F-199.2N,24.102525,120.578747,3.0,9,2405.5
員林,03F-199.2N,24.102525,120.578747,3.0,10,2415.5
員林,03F-199.2N,24.102525,120.578747,3.0,11,2415.5
員林,03F-206.6SN,24.070333,120.639711,3.0,4,1813.5
員林,03F-206.6SN,24.070333,120.639711,3.0,5,1813.5
員林,03F-206.6SN,24.070333,120.639711,3.0,6,1845.0
員林,03F-206.6SN,24.070333,120.639711,3.0,7,1845.0
員林,03F-206.6SN,24.070333,120.639711,3.0,8,1721.5
員林,03F-206.6SN,24.070333,120.639711,3.0,9,1721.5
員林,03F-206.6SN,24.070333,120.639711,3.0,10,1761.0
員林,03F-206.6SN,24.070333,120.639711,3.0,11,1761.0
員林,03F-207.8N,24.067958,120.651433,4.0,4,1247.0
員林,03F-207.8N,24.067958,120.651433,4.0,5,1247.0
員林,03F-207.8N,24.067958,120.651433,4.0,6,1269.5
員林,03F-207.8N,24.067958,120.651433,4.0,7,1269.5
員林,03F-207.8N,24.067958,120.651433,4.0,8,1179.5
員林,03F-207.8N,24.067958,120.651433,4.0,9,1179.5
員林,03F-207.8N,24.067958,120.651433,4.0,10,1200.0
員林,03F-207.8N,24.067958,120.651433,4.0,11,1200.0
員林,03F-207.9S,24.067778,120.652361,4.0,4,1280.5
員林,03F-207.9S,24.067778,120.652361,4.0,5,1280.5
員林,03F-207.9S,24.067778,120.652361,4.0,6,1306.5
員林,03F-207.9S,24.067778,120.652361,4.0,7,1306.5
員林,03F-207.9S,24.067778,120.652361,4.0,8,1211.0
員林,03F-207.9S,24.067778,120.652361,4.0,9,1211.0
員林,03F-207.9S,24.067778,120.652361,4.0,10,1233.0
員林,03F-207.9S,24.067778,120.652361,4.0,11,1233.0
員林,03F-210.0N,24.060428,120.671533,3.0,4,1173.5
員林,03F-210.0N,24.060428,120.671533,3.0,5,1173.5
員林,03F-210.0N,24.060428,120.671533,3.0,6,1222.0
員林,03F-210.0N,24.060428,120.671533,3.0,7,1222.0
員林,03F-210.0N,24.060428,120.671533,3.0,8,1164.0
員林,03F-210.0N,24.060428,120.671533,3.0,9,1164.0
員林,03F-210.0N,24.060428,120.671533,3.0,10,1131.0
員林,03F-210.0N,24.060428,120.671533,3.0,11,1131.0
員林,03F-210.0S,24.060653,120.670964,3.0,4,1152.5
員林,03F-210.0S,24.060653,120.670964,3.0,5,1152.5
員林,03F-210.0S,24.060653,120.670964,3.0,6,1192.5
員林,03F-210.0S,24.060653,120.670964,3.0,7,1192.5
員林,03F-210.0S,24.060653,120.670964,3.0,8,1133.0
員林,03F-210.0S,24.060653,120.670964,3.0,9,1133.0
員林,03F-210.0S,24.060653,120.670964,3.0,10,1100.5
員林,03F-210.0S,24.060653,120.670964,3.0,11,1100.5
員林,03F-212.5N,24.040994,120.677853,4.0,4,1290.5
員林,03F-212.5N,24.040994,120.677853,4.0,5,1290.5
員林,03F-212.5N,24.040994,120.677853,4.0,6,1361.5
員林,03F-212.5N,24.040994,120.677853,4.0,7,1361.5
員林,03F-212.5N,24.040994,120.677853,4.0,8,1344.5
員林,03F-212.5N,24.040994,120.677853,4.0,9,1344.5
員林,03F-212.5N,24.040994,120.677853,4.0,10,1228.5
員林,03F-212.5N,24.040994,120.677853,4.0,11,1228.5
員林,03F-212.9S,24.037419,120.675925,4.0,4,1307.5
員林,03F-212.9S,24.037419,120.675925,4.0,5,1307.5
員林,03F-212.9S,24.037419,120.675925,4.0,6,1393.0
員林,03F-212.9S,24.037419,120.675925,4.0,7,1393.0
員林,03F-212.9S,24.037419,120.675925,4.0,8,1374.5
員林,03F-212.9S,24.037419,120.675925,4.0,9,1374.5
員林,03F-212.9S,24.037419,120.675925,4.0,10,1240.0
員林,03F-212.9S,24.037419,120.675925,4.0,11,1240.0
員林,03F-215.3N,24.01894444,120.6631611,4.0,4,2406.0
員林,03F-215.3N,24.01894444,120.6631611,4.0,5,2406.0
員林,03F-215.3N,24.01894444,120.6631611,4.0,6,2535.0
員林,03F-215.3N,24.01894444,120.6631611,4.0,7,2535.0
員林,03F-215.3N,24.01894444,120.6631611,4.0,8,2501.0
員林,03F-215.3N,24.01894444,120.6631611,4.0,9,2501.0
員林,03F-215.3N,24.01894444,120.6631611,4.0,10,2282.0
員林,03F-215.3N,24.01894444,120.6631611,4.0,11,2282.0
員林,03F-219.4SN,23.985844,120.652714,4.0,4,1934.0
員林,03F-219.4SN,23.985844,120.652714,4.0,5,1934.0
員林,03F-219.4SN,23.985844,120.652714,4.0,6,2001.0
員林,03F-219.4SN,23.985844,120.652714,4.0,7,2001.0
員林,03F-219.4SN,23.985844,120.652714,4.0,8,1892.0
員林,03F-219.4SN,23.985844,120.652714,4.0,9,1892.0
員林,03F-219.4SN,23.985844,120.652714,4.0,10,1892.0
員林,03F-219.4SN,23.985844,120.652714,4.0,11,1892.0
員林,03F-223.1N,23.957103,120.657614,4.0,4,1240.5
員林,03F-223.1N,23.957103,120.657614,4.0,5,1240.5
員林,03F-223.1N,23.957103,120.657614,4.0,6,1501.0
員林,03F-223.1N,23.957103,120.657614,4.0,7,1501.0
員林,03F-223.1N,23.957103,120.657614,4.0,8,1315.0
員林,03F-223.1N,23.957103,120.657614,4.0,9,1315.0
員林,03F-223.1N,23.957103,120.657614,4.0,10,1310.0
員林,03F-223.1N,23.957103,120.657614,4.0,11,1310.0
員林,03F-223.5S,23.955503,120.661267,4.0,4,1153.0
員林,03F-223.5S,23.955503,120.661267,4.0,5,1153.0
員林,03F-223.5S,23.955503,120.661267,4.0,6,1355.5
員林,03F-223.5S,23.955503,120.661267,4.0,7,1355.5
員林,03F-223.5S,23.955503,120.661267,4.0,8,1186.0
員林,03F-223.5S,23.955503,120.661267,4.0,9,1186.0
員林,03F-223.5S,23.955503,120.661267,4.0,10,1213.0
員林,03F-223.5S,23.955503,120.661267,4.0,11,1213.0
員林,03F-226.0N,23.937928,120.676853,3.0,4,2160.5
