toll_booth,gantry,month,ac_a_current,ac_b_current,rs485_temperature,mains_power_220_current,mains_power_l1_voltage,mains_power_l2_voltage,smr_dc_current,smr_dc_voltage
新市,01F-312.6S,2025-05,0.9416666666666667,1.1020833333333333,22.653125,10.473958333333334,117.01354166666667,117.625,60.479166666666664,26.744791666666668
新市,01F-318.5N,2024-06,1.2143055555555555,0.8822222222222222,20.51986111111111,11.142222222222221,114.88208333333334,114.54430555555557,65.08833333333334,26.75069444444444
新市,01F-318.5N,2024-07,1.7126344086021505,0.4961021505376344,21.39690860215054,11.175537634408602,114.90672043010754,114.6717741935484,67.50497311827957,29.367338709677416
新市,01F-318.5N,2024-08,1.7919354838709676,0.3760752688172043,18.243682795698923,11.154301075268817,114.87432795698926,114.68481182795698,64.98682795698925,26.75228494623656
新市,01F-318.5N,2024-09,1.7643055555555556,0.3145833333333333,18.236944444444443,13.874027777777776,117.31944444444443,117.10777777777777,65.25638888888889,26.747916666666665
新市,01F-318.5N,2024-10,1.6759408602150538,0.28803763440860214,17.888575268817206,10.956586021505377,114.74502688172043,114.41008064516129,65.02043010752689,26.745698924731183
新市,01F-318.5N,2024-11,1.4759722222222222,0.30819444444444444,17.584444444444443,10.798333333333334,114.68416666666667,114.31680555555555,65.21833333333333,26.750416666666663
新市,01F-318.5N,2024-12,1.2532258064516129,0.3432795698924731,17.29758064516129,10.63991935483871,114.74905913978495,114.44435483870969,65.42150537634409,26.749193548387094
新市,01F-318.5N,2025-01,1.2467741935483871,0.3510752688172043,17.179166666666667,10.616532258064517,114.8241935483871,114.50954301075268,65.64086021505376,26.749596774193545
新市,01F-318.5N,2025-02,1.2598214285714284,0.35267857142857145,17.25654761904762,10.666666666666668,114.58630952380952,114.20952380952382,65.69657738095238,26.750744047619047
新市,01F-318.5N,2025-03,1.4336021505376342,0.3186827956989247,17.528629032258067,10.79220430107527,114.85833333333333,114.59422043010753,65.59287634408602,26.748521505376342
新市,01F-318.5N,2025-04,1.6565277777777778,0.3297222222222222,17.777916666666666,11.009305555555557,115.07333333333332,114.81347222222222,65.52930555555555,26.747777777777777
新市,01F-318.5N,2025-05,1.7999999999999998,0.3708333333333333,18.094791666666666,11.210416666666667,115.121875,114.84479166666667,65.55520833333333,26.744791666666664
新市,01F-322.7N,2024-06,1.1087500000000001,0.9579166666666666,22.165555555555557,11.526944444444444,112.84069444444444,112.84958333333333,66.45013888888889,26.747916666666665
新市,01F-322.7N,2024-07,1.1893817204301074,0.9081989247311829,22.119354838709675,11.53991935483871,112.9236559139785,112.92459677419355,66.52997311827957,26.752150537634407
新市,01F-322.7N,2024-08,1.0634408602150538,0.9502688172043011,22.137096774193548,11.474327956989248,112.95174731182796,112.94032258064516,66.60591397849463,26.749865591397846
