Station,gantry,Latitude,Longitude,Lane Count,Month,Estimated Monthly Consumption (kWh),ClimateType
員林,03F-199.2N,24.102525,120.578747,3.0,9,2405.5,-0.32519829534588557
員林,03F-199.2N,24.102525,120.578747,3.0,10,2415.5,0.5393685798851737
員林,03F-199.2N,24.102525,120.578747,3.0,11,2415.5,0.32383182506446556
員林,03F-206.6SN,24.070333,120.639711,3.0,4,1813.5,-0.09422158418415652
員林,03F-206.6SN,24.070333,120.639711,3.0,5,1813.5,-0.1574944862737704
員林,03F-206.6SN,24.070333,120.639711,3.0,6,1845.0,0.0948784997635292
員林,03F-206.6SN,24.070333,120.639711,3.0,7,1845.0,-0.23133470246600116
員林,03F-206.6SN,24.070333,120.639711,3.0,8,1721.5,0.1990192096145642
員林,03F-206.6SN,24.070333,120.639711,3.0,9,1721.5,-0.3414718740117124
員林,03F-206.6SN,24.070333,120.639711,3.0,10,1761.0,0.5480214254279947
員林,03F-206.6SN,24.070333,120.639711,3.0,11,1761.0,0.32562226739616756
員林,03F-207.8N,24.067958,120.651433,4.0,4,1247.0,-0.09393852000501107
員林,03F-207.8N,24.067958,120.651433,4.0,5,1247.0,-0.157197598463641
員林,03F-207.8N,24.067958,120.651433,4.0,6,1269.5,0.08532603091614907
員林,03F-207.8N,24.067958,120.651433,4.0,7,1269.5,-0.2408984888816633
員林,03F-207.8N,24.067958,120.651433,4.0,8,1179.5,0.1915893772439042
員林,03F-207.8N,24.067958,120.651433,4.0,9,1179.5,-0.3503903823634921
員林,03F-207.8N,24.067958,120.651433,4.0,10,1200.0,0.5457085342295528
員林,03F-207.8N,24.067958,120.651433,4.0,11,1200.0,0.3224679500390867
員林,03F-207.9S,24.067778,120.652361,4.0,4,1280.5,-0.09392348463801292
員林,03F-207.9S,24.067778,120.652361,4.0,5,1280.5,-0.15719044121153125
員林,03F-207.9S,24.067778,120.652361,4.0,6,1306.5,0.0846019608015154
員林,03F-207.9S,24.067778,120.652361,4.0,7,1306.5,-0.24168212003093387
員林,03F-207.9S,24.067778,120.652361,4.0,8,1211.0,0.19104503723522392
員林,03F-207.9S,24.067778,120.652361,4.0,9,1211.0,-0.3510297639578631
