Station,gantry,Latitude,Longitude,Lane Count,Billing Month,Electricity Consumption (kWh),Billing Period (Start),Billing Period (End)
楊梅,01F-053.2SN,25.012944,121.266194,4,6,3827,2024-04-12,2024-06-12
楊梅,01F-053.2SN,25.012944,121.266194,4,8,4038,2024-06-13,2024-08-13
楊梅,01F-053.2SN,25.012944,121.266194,4,10,3997,2024-08-14,2024-10-14
楊梅,01F-053.2SN,25.012944,121.266194,4,12,3646,2024-10-15,2024-12-12
泰山,01F-046.7SN,25.047075,121.317761,4,5,4298,2024-03-14,2024-05-15
泰山,01F-046.7SN,25.047075,121.317761,4,7,4043,2024-05-16,2024-07-14
泰山,01F-046.7SN,25.047075,121.317761,4,9,4351,2024-07-15,2024-09-15
泰山,01F-046.7SN,25.047075,121.317761,4,11,4055,2024-09-16,2024-11-14
泰山,01H-044.7N,25.059242,121.332072,3,5,2216,2024-03-14,2024-05-15
泰山,01H-044.7N,25.059242,121.332072,3,7,2216,2024-05-16,2024-07-14
泰山,01H-044.7N,25.059242,121.332072,3,9,2318,2024-07-15,2024-09-15
泰山,01H-044.7N,25.059242,121.332072,3,11,2133,2024-09-16,2024-11-14
楊梅,01F-049.2SN,25.036481,121.295531,5,5,4569,2024-03-14,2024-05-15
楊梅,01F-049.2SN,25.036481,121.295531,5,7,4435,2024-05-16,2024-07-14
楊梅,01F-049.2SN,25.036481,121.295531,5,9,4622,2024-07-15,2024-09-15
楊梅,01F-049.2SN,25.036481,121.295531,5,11,4181,2024-09-16,2024-11-14
楊梅,01F-051.1SN,25.025953,121.281731,5,6,4167,2024-04-15,2024-06-13
楊梅,01F-051.1SN,25.025953,121.281731,5,8,4322,2024-06-14,2024-08-14
楊梅,01F-051.1SN,25.025953,121.281731,5,10,4295,2024-08-15,2024-10-15
楊梅,01F-051.1SN,25.025953,121.281731,5,12,3884,2024-10-16,2024-12-15
泰山,01H-044.7S,25.060125,121.331858,3,6,2176,2024-04-18,2024-06-18
泰山,01H-044.7S,25.060125,121.331858,3,8,2240,2024-06-19,2024-08-19
泰山,01H-044.7S,25.060125,121.331858,3,10,2280,2024-08-20,2024-10-20
泰山,01H-044.7S,25.060125,121.331858,3,12,2015,2024-10-21,2024-12-18
楊梅,01F-058.4N、01H-057.9N,24.980558,121.228944,3,5,4417,2024-03-04,2024-05-05
楊梅,01F-058.4N、01H-057.9N,24.980558,121.228944,3,7,4580,2024-05-06,2024-07-02
楊梅,01F-058.4N、01H-057.9N,24.980558,121.228944,3,9,5038,2024-07-03,2024-09-03
楊梅,01F-058.4N、01H-057.9N,24.980558,121.228944,3,11,4791,2024-09-04,2024-11-04
楊梅,01F-063.3SN,24.949281,121.195594,3,5,3520,2024-03-19,2024-05-20
楊梅,01F-063.3SN,24.949281,121.195594,3,7,3531,2024-05-21,2024-07-17
楊梅,01F-063.3SN,24.949281,121.195594,3,9,3874,2024-07-18,2024-09-19
楊梅,01F-063.3SN,24.949281,121.195594,3,11,3538,2024-09-20,2024-11-19
楊梅,01H-060.8N,24.965878,121.211614,2,6,2184,2024-03-26,2024-05-26
楊梅,01H-060.8N,24.965878,121.211614,2,8,2213,2024-05-27,2024-07-28
楊梅,01H-060.8N,24.965878,121.211614,2,10,2178,2024-07-29,2024-09-25
楊梅,01H-060.8N,24.965878,121.211614,2,12,2134,2024-09-26,2024-11-26
楊梅,01F-061.6S,24.961693,121.2047523,4,6,501,2024-04-15,2024-06-13
楊梅,01F-061.6S,24.961693,121.2047523,4,8,2546,2024-06-14,2024-08-14
楊梅,01F-061.6S,24.961693,121.2047523,4,10,2952,2024-08-15,2024-10-15
楊梅,01F-061.6S,24.961693,121.2047523,4,12,2929,2024-10-16,2024-12-15
楊梅,01H-061.0S,24.96525,121.209867,2,6,2060,2024-04-15,2024-06-13
楊梅,01H-061.0S,24.96525,121.209867,2,8,2289,2024-06-14,2024-08-14
楊梅,01H-061.0S,24.96525,121.209867,2,10,2234,2024-08-15,2024-10-15
