Station,gantry,Latitude,Longitude,Lane Count,Month,ClimateType,Estimated Monthly Consumption (kWh)
后里,03F-148.5S,24.467308,120.681217,3.0,10,0.160616192751109,1657.5
后里,03F-148.5S,24.467308,120.681217,3.0,11,0.0770755233859326,1484.5
后里,03F-148.5S,24.467308,120.681217,3.0,12,-0.3459789946284827,1484.5
后里,03F-163.3N,24.341119,120.651567,3.0,4,-0.2600507035773328,1656.5
后里,03F-163.3N,24.341119,120.651567,3.0,5,-0.3157072721319413,1656.5
后里,03F-163.3N,24.341119,120.651567,3.0,6,-0.0786374737344752,1752.5
后里,03F-163.3N,24.341119,120.651567,3.0,7,-0.2532633077240193,1752.5
后里,03F-163.3N,24.341119,120.651567,3.0,8,0.1529849300202731,1682.0
后里,03F-163.3N,24.341119,120.651567,3.0,9,-0.400756553580487,1682.0
后里,03F-163.3N,24.341119,120.651567,3.0,10,0.3169711234525478,1598.0
后里,03F-163.3N,24.341119,120.651567,3.0,11,0.1744303975912397,1598.0
后里,03F-165.1S,24.334719,120.635578,3.0,4,-0.2529784133946355,1672.5
后里,03F-165.1S,24.334719,120.635578,3.0,5,-0.3076828294605924,1672.5
后里,03F-165.1S,24.334719,120.635578,3.0,6,-0.0703720470332772,1807.5
后里,03F-165.1S,24.334719,120.635578,3.0,7,-0.2495101903534811,1807.5
后里,03F-165.1S,24.334719,120.635578,3.0,8,0.1545925146250093,1720.0
后里,03F-165.1S,24.334719,120.635578,3.0,9,-0.3988588509172001,1720.0
后里,03F-165.1S,24.334719,120.635578,3.0,10,0.328552193772081,1587.0
后里,03F-165.1S,24.334719,120.635578,3.0,11,0.1819435725335454,1587.0
后里,03F-171.0N,24.292881,120.601964,3.0,3,-0.1933258331695702,1800.5
后里,03F-171.0N,24.292881,120.601964,3.0,4,-0.1503282182914211,1800.5
后里,03F-171.0N,24.292881,120.601964,3.0,5,-0.2283781995615231,1686.5
后里,03F-171.0N,24.292881,120.601964,3.0,6,-0.0055299925550536,1686.5
后里,03F-171.0N,24.292881,120.601964,3.0,7,-0.2745264206404434,1863.0
后里,03F-171.0N,24.292881,120.601964,3.0,8,0.1571453712392168,1863.0
后里,03F-171.0N,24.292881,120.601964,3.0,9,-0.3974730560374374,1743.0
后里,03F-171.0N,24.292881,120.601964,3.0,10,0.4432511353121667,1743.0
后里,03F-173.9S,24.269464,120.590806,3.0,3,-0.1808417467507014,1717.5
后里,03F-173.9S,24.269464,120.590806,3.0,4,-0.1417104573546489,1717.5
后里,03F-173.9S,24.269464,120.590806,3.0,5,-0.2170162511716557,1086.5
后里,03F-173.9S,24.269464,120.590806,3.0,6,0.0044404737180266,1086.5
后里,03F-173.9S,24.269464,120.590806,3.0,7,-0.2685631217963051,2280.5
后里,03F-173.9S,24.269464,120.590806,3.0,8,0.1556764222560236,2280.5
后里,03F-173.9S,24.269464,120.590806,3.0,9,-0.3986325009283527,1764.5
后里,03F-173.9S,24.269464,120.590806,3.0,10,0.4584583373412514,1764.5
后里,03F-177.9N,24.234647,120.593306,3.0,3,-0.1646763644587222,1740.0
后里,03F-177.9N,24.234647,120.593306,3.0,4,-0.1302813040157234,1740.0
后里,03F-177.9N,24.234647,120.593306,3.0,5,-0.2010340362935192,1591.0
后里,03F-177.9N,24.234647,120.593306,3.0,6,0.0107146573603925,1591.0
后里,03F-177.9N,24.234647,120.593306,3.0,7,-0.2589569399544321,1763.5
后里,03F-177.9N,24.234647,120.593306,3.0,8,0.147412662035918,1763.5
后里,03F-177.9N,24.234647,120.593306,3.0,9,-0.4099406979664246,1685.5
后里,03F-177.9N,24.234647,120.593306,3.0,10,0.4792911971027435,1685.5
后里,03F-186.0N,24.177831,120.548244,3.0,3,-0.1467663529815673,1793.0
后里,03F-186.0N,24.177831,120.548244,3.0,4,-0.1188343370848558,1793.0
后里,03F-186.0N,24.177831,120.548244,3.0,5,-0.1888047281734719,1600.0
后里,03F-186.0N,24.177831,120.548244,3.0,6,0.0589179479107749,1600.0
后里,03F-186.0N,24.177831,120.548244,3.0,7,-0.2444143938695108,1908.5
后里,03F-186.0N,24.177831,120.548244,3.0,8,0.1793811700297165,1908.5
后里,03F-186.0N,24.177831,120.548244,3.0,9,-0.36480316404106,1656.5
后里,03F-186.0N,24.177831,120.548244,3.0,10,0.5018435973849322,1656.5
后里,03F-194.1N,24.120947,120.534547,3.0,4,-0.1086143595015763,1066.0
后里,03F-194.1N,24.120947,120.534547,3.0,5,-0.1780916531647594,1066.0
后里,03F-194.1N,24.120947,120.534547,3.0,6,0.1160687906136657,1316.5
后里,03F-194.1N,24.120947,120.534547,3.0,7,-0.2204256628482128,1316.5
后里,03F-194.1N,24.120947,120.534547,3.0,8,0.2223436360734851,1129.0
后里,03F-194.1N,24.120947,120.534547,3.0,9,-0.3074323151269644,1129.0
后里,03F-194.1N,24.120947,120.534547,3.0,10,0.5259472286893554,1132.0
后里,03F-194.1N,24.120947,120.534547,3.0,11,0.3190704279863554,1132.0
后里,03F-194.4S,24.119011,120.536692,3.0,4,-0.1080752941031545,1082.5
后里,03F-194.4S,24.119011,120.536692,3.0,5,-0.1773463427351978,1082.5
后里,03F-194.4S,24.119011,120.536692,3.0,6,0.1172592998840891,1217.0
后里,03F-194.4S,24.119011,120.536692,3.0,7,-0.2192426244456395,1217.0
后里,03F-194.4S,24.119011,120.536692,3.0,8,0.2230328041754074,1075.0
后里,03F-194.4S,24.119011,120.536692,3.0,9,-0.3067430451695397,1075.0
后里,03F-194.4S,24.119011,120.536692,3.0,10,0.5272329545475707,1130.5
后里,03F-194.4S,24.119011,120.536692,3.0,11,0.3199772615709692,1130.5
員林,01F-177.4SN,24.184592,120.635611,3.0,4,-0.1114609797288811,606.0
員林,01F-177.4SN,24.184592,120.635611,3.0,5,-0.1696722868002365,606.0
員林,01F-177.4SN,24.184592,120.635611,3.0,6,-0.0238903681811678,257.5
員林,01F-177.4SN,24.184592,120.635611,3.0,7,-0.2395752638623014,257.5
員林,01F-177.4SN,24.184592,120.635611,3.0,8,0.0886185563308797,1662.0
員林,01F-177.4SN,24.184592,120.635611,3.0,9,-0.4935325204378096,1662.0
員林,01F-177.4SN,24.184592,120.635611,3.0,10,0.5142989786517953,1265.0
員林,01F-177.4SN,24.184592,120.635611,3.0,11,0.2778759230135958,1265.0
員林,01F-180.2SN,24.163706,120.621933,3.0,3,-0.1351181703385916,1760.5
員林,01F-180.2SN,24.163706,120.621933,3.0,4,-0.10846565364066,1760.5
員林,01F-180.2SN,24.163706,120.621933,3.0,5,-0.1668103891606641,1782.5
員林,01F-180.2SN,24.163706,120.621933,3.0,6,-0.0081941202043194,1782.5
員林,01F-180.2SN,24.163706,120.621933,3.0,7,-0.2359807559113299,1950.0
員林,01F-180.2SN,24.163706,120.621933,3.0,8,0.1008977860985493,1950.0
員林,01F-180.2SN,24.163706,120.621933,3.0,9,-0.4765330953803222,1795.5
員林,01F-180.2SN,24.163706,120.621933,3.0,10,0.5203635578912359,1795.5
員林,01F-183.9SN,24.130767,120.617247,3.0,4,-0.104099100231632,1817.5
員林,01F-183.9SN,24.130767,120.617247,3.0,5,-0.1633043677788455,1817.5
